Event_ID,Event_Name,Event_Date,Event_Type,Campaign_ID,Attributed_Sales,Marketing_Spend
EVT001656,CNY Promo - Google 2023-01,2023-01-23,Google_Ads_Campaign,CAM01656,9676.45,2316.08
EVT002029,CNY Promo - Shopee 2023-01,2023-01-23,Shopee_Ads_Campaign,CAM02029,8460.02,1798.46
EVT000330,CNY Promo - FB 2023-01,2023-01-23,FB_IG_Campaign,CAM00330,481.72,375.99
EVT000189,CNY Promo - Shopee 2023-01,2023-01-24,Shopee_Ads_Campaign,CAM00189,7126.67,930.56
EVT000566,CNY Promo - FB 2023-01,2023-01-24,FB_IG_Campaign,CAM00566,827.57,531.63
EVT001160,CNY Promo - Email 2023-01,2023-01-24,Email_Promo,CAM01160,1899.13,194.76
EVT000570,CNY Promo - Email 2023-01,2023-01-24,Email_Promo,CAM00570,3108.22,359.28
EVT000540,CNY Promo - Shopee 2023-01,2023-01-24,Shopee_Ads_Campaign,CAM00540,14694.14,1995.4
EVT001454,CNY Promo - Email 2023-01,2023-01-24,Email_Promo,CAM01454,1951.34,296.34
EVT000830,CNY Promo - Lazada 2023-01,2023-01-24,Lazada_Ads_Campaign,CAM00830,5576.35,1030.08
EVT000266,CNY Promo - FB 2023-01,2023-01-25,FB_IG_Campaign,CAM00266,1187.04,823.58
EVT001168,CNY Promo - Shopee 2023-01,2023-01-25,Shopee_Ads_Campaign,CAM01168,8183.83,1520.73
EVT001599,CNY Promo - FB 2023-01,2023-01-25,FB_IG_Campaign,CAM01599,1243.12,933.95
EVT000573,CNY Promo - Email 2023-01,2023-01-25,Email_Promo,CAM00573,3375.45,377.97
EVT001300,CNY Promo - Lazada 2023-01,2023-01-25,Lazada_Ads_Campaign,CAM01300,2757.46,574.98
EVT001246,CNY Promo - Lazada 2023-01,2023-01-26,Lazada_Ads_Campaign,CAM01246,8833.62,1833.07
EVT000778,CNY Promo - Google 2023-01,2023-01-26,Google_Ads_Campaign,CAM00778,4731.88,964.16
EVT001658,CNY Promo - Google 2023-01,2023-01-26,Google_Ads_Campaign,CAM01658,9032.62,1757.82
EVT001302,CNY Promo - Shopee 2023-01,2023-01-27,Shopee_Ads_Campaign,CAM01302,13265.81,1790.08
EVT001972,CNY Promo - Google 2023-01,2023-01-27,Google_Ads_Campaign,CAM01972,4647.0,1142.84
EVT000779,CNY Promo - Lazada 2023-01,2023-01-27,Lazada_Ads_Campaign,CAM00779,11488.95,1949.38
EVT001357,CNY Promo - Shopee 2023-01,2023-01-27,Shopee_Ads_Campaign,CAM01357,7053.84,1063.07
EVT001714,CNY Promo - Shopee 2023-01,2023-01-28,Shopee_Ads_Campaign,CAM01714,11867.53,1689.41
EVT001798,CNY Promo - Google 2023-01,2023-01-28,Google_Ads_Campaign,CAM01798,3962.56,1096.07
EVT000517,CNY Promo - Google 2023-01,2023-01-28,Google_Ads_Campaign,CAM00517,10425.14,1896.64
EVT001433,CNY Promo - Lazada 2023-01,2023-01-28,Lazada_Ads_Campaign,CAM01433,4545.48,883.16
EVT001373,CNY Promo - FB 2023-01,2023-01-28,FB_IG_Campaign,CAM01373,2384.08,1287.95
EVT001685,CNY Promo - FB 2023-01,2023-01-29,FB_IG_Campaign,CAM01685,1677.87,1247.58
EVT000959,CNY Promo - Google 2023-01,2023-01-29,Google_Ads_Campaign,CAM00959,4129.51,904.97
EVT001325,CNY Promo - Lazada 2023-01,2023-01-29,Lazada_Ads_Campaign,CAM01325,6285.46,1324.77
EVT001198,CNY Promo - Google 2023-01,2023-01-29,Google_Ads_Campaign,CAM01198,11449.97,2108.07
EVT001611,CNY Promo - Google 2023-01,2023-01-29,Google_Ads_Campaign,CAM01611,11515.17,2120.42
EVT001914,CNY Promo - Shopee 2023-01,2023-01-29,Shopee_Ads_Campaign,CAM01914,11629.81,1385.19
EVT001620,CNY Promo - Google 2023-01,2023-01-29,Google_Ads_Campaign,CAM01620,2762.3,589.54
EVT000731,CNY Promo - FB 2023-01,2023-01-29,FB_IG_Campaign,CAM00731,598.74,414.42
EVT001936,CNY Promo - Lazada 2023-01,2023-01-30,Lazada_Ads_Campaign,CAM01936,9543.23,1675.78
EVT001898,CNY Promo - Email 2023-01,2023-01-30,Email_Promo,CAM01898,2540.02,353.43
EVT002016,CNY Promo - Shopee 2023-01,2023-01-30,Shopee_Ads_Campaign,CAM02016,3587.14,562.35
EVT001744,CNY Promo - Google 2023-01,2023-01-30,Google_Ads_Campaign,CAM01744,5893.26,1134.26
EVT000339,CNY Promo - Shopee 2023-01,2023-01-31,Shopee_Ads_Campaign,CAM00339,4858.22,810.34
EVT001391,CNY Promo - Shopee 2023-01,2023-01-31,Shopee_Ads_Campaign,CAM01391,7526.1,1549.02
EVT001085,CNY Promo - Email 2023-01,2023-01-31,Email_Promo,CAM01085,2128.64,225.58
EVT000167,CNY Promo - Shopee 2023-01,2023-01-31,Shopee_Ads_Campaign,CAM00167,6386.34,1328.96
EVT000681,CNY Promo - FB 2023-01,2023-01-31,FB_IG_Campaign,CAM00681,506.42,372.85
EVT000061,CNY Promo - Shopee 2023-01,2023-01-31,Shopee_Ads_Campaign,CAM00061,4806.42,663.11
EVT000510,CNY Promo - FB 2023-01,2023-01-31,FB_IG_Campaign,CAM00510,1537.36,1084.48
EVT000531,CNY Promo - Google 2023-01,2023-01-31,Google_Ads_Campaign,CAM00531,2659.79,660.55
EVT000535,CNY Promo - FB 2023-02,2023-02-01,FB_IG_Campaign,CAM00535,586.27,382.97
EVT000987,CNY Promo - Shopee 2023-02,2023-02-01,Shopee_Ads_Campaign,CAM00987,7413.68,1912.45
EVT001305,CNY Promo - Lazada 2023-02,2023-02-01,Lazada_Ads_Campaign,CAM01305,15172.7,1840.81
EVT002138,CNY Promo - Google 2023-02,2023-02-02,Google_Ads_Campaign,CAM02138,6387.64,1393.95
EVT001297,CNY Promo - FB 2023-02,2023-02-02,FB_IG_Campaign,CAM01297,2161.61,1223.2
EVT001809,CNY Promo - FB 2023-02,2023-02-02,FB_IG_Campaign,CAM01809,1283.35,1047.43
EVT000720,CNY Promo - FB 2023-02,2023-02-02,FB_IG_Campaign,CAM00720,2130.87,1399.23
EVT000961,CNY Promo - Email 2023-02,2023-02-02,Email_Promo,CAM00961,1650.3,289.58
EVT000898,CNY Promo - FB 2023-02,2023-02-03,FB_IG_Campaign,CAM00898,742.54,529.06
EVT001188,CNY Promo - FB 2023-02,2023-02-03,FB_IG_Campaign,CAM01188,1230.43,841.43
EVT001518,CNY Promo - FB 2023-02,2023-02-03,FB_IG_Campaign,CAM01518,1959.1,1399.97
EVT001881,CNY Promo - Google 2023-02,2023-02-03,Google_Ads_Campaign,CAM01881,2117.06,604.6
EVT001082,CNY Promo - FB 2023-02,2023-02-03,FB_IG_Campaign,CAM01082,1427.02,831.81
EVT002172,CNY Promo - Shopee 2023-02,2023-02-03,Shopee_Ads_Campaign,CAM02172,6770.73,1185.27
EVT000638,CNY Promo - Lazada 2023-02,2023-02-04,Lazada_Ads_Campaign,CAM00638,17286.02,2179.21
EVT001801,CNY Promo - Email 2023-02,2023-02-04,Email_Promo,CAM01801,1235.2,156.77
EVT001067,CNY Promo - Lazada 2023-02,2023-02-05,Lazada_Ads_Campaign,CAM01067,9913.78,2099.41
EVT001961,CNY Promo - Lazada 2023-02,2023-02-05,Lazada_Ads_Campaign,CAM01961,10773.27,1588.28
EVT001977,CNY Promo - Shopee 2023-02,2023-02-05,Shopee_Ads_Campaign,CAM01977,8910.56,1222.38
EVT000591,CNY Promo - FB 2023-02,2023-02-05,FB_IG_Campaign,CAM00591,415.55,304.67
EVT002169,CNY Promo - FB 2023-02,2023-02-05,FB_IG_Campaign,CAM02169,1969.53,1472.34
EVT001223,CNY Promo - FB 2023-02,2023-02-05,FB_IG_Campaign,CAM01223,2710.29,1380.22
EVT002121,CNY Promo - Google 2023-02,2023-02-06,Google_Ads_Campaign,CAM02121,9377.2,2232.38
EVT000955,CNY Promo - Lazada 2023-02,2023-02-07,Lazada_Ads_Campaign,CAM00955,10074.28,1394.25
EVT002017,CNY Promo - Shopee 2023-02,2023-02-07,Shopee_Ads_Campaign,CAM02017,8933.55,1716.16
EVT000880,CNY Promo - Shopee 2023-02,2023-02-07,Shopee_Ads_Campaign,CAM00880,3031.41,450.8
EVT000726,CNY Promo - Lazada 2023-02,2023-02-07,Lazada_Ads_Campaign,CAM00726,8821.35,1955.33
EVT001900,CNY Promo - Shopee 2023-02,2023-02-07,Shopee_Ads_Campaign,CAM01900,6059.42,782.87
EVT002176,CNY Promo - Lazada 2023-02,2023-02-08,Lazada_Ads_Campaign,CAM02176,5870.95,872.17
EVT002164,CNY Promo - Google 2023-02,2023-02-08,Google_Ads_Campaign,CAM02164,11386.74,2450.03
EVT000706,CNY Promo - Google 2023-02,2023-02-08,Google_Ads_Campaign,CAM00706,3756.88,1015.37
EVT000670,CNY Promo - FB 2023-02,2023-02-09,FB_IG_Campaign,CAM00670,522.49,313.42
EVT000272,CNY Promo - FB 2023-02,2023-02-09,FB_IG_Campaign,CAM00272,840.66,510.42
EVT001073,CNY Promo - Google 2023-02,2023-02-09,Google_Ads_Campaign,CAM01073,3410.76,834.71
EVT001566,CNY Promo - Google 2023-02,2023-02-09,Google_Ads_Campaign,CAM01566,5934.46,1556.9
EVT001394,CNY Promo - Google 2023-02,2023-02-09,Google_Ads_Campaign,CAM01394,5446.69,1022.34
EVT000862,CNY Promo - Lazada 2023-02,2023-02-09,Lazada_Ads_Campaign,CAM00862,10784.6,2079.36
EVT001344,CNY Promo - Email 2023-02,2023-02-09,Email_Promo,CAM01344,2391.58,255.98
EVT000079,CNY Promo - Email 2023-02,2023-02-09,Email_Promo,CAM00079,1168.52,98.09
EVT000855,CNY Promo - Shopee 2023-02,2023-02-09,Shopee_Ads_Campaign,CAM00855,8819.84,1211.33
EVT001175,CNY Promo - Shopee 2023-02,2023-02-10,Shopee_Ads_Campaign,CAM01175,3030.85,791.2
EVT000594,CNY Promo - Google 2023-02,2023-02-10,Google_Ads_Campaign,CAM00594,12696.1,2385.01
EVT000024,CNY Promo - FB 2023-02,2023-02-10,FB_IG_Campaign,CAM00024,2699.44,1454.28
EVT000414,CNY Promo - FB 2023-02,2023-02-10,FB_IG_Campaign,CAM00414,1257.69,829.16
EVT000456,CNY Promo - Shopee 2023-02,2023-02-10,Shopee_Ads_Campaign,CAM00456,4518.95,1011.52
EVT000084,CNY Promo - Shopee 2023-02,2023-02-10,Shopee_Ads_Campaign,CAM00084,9016.52,1153.49
EVT000537,FB Carousel Promo 2023-02,2023-02-11,FB_IG_Campaign,CAM00537,450.92,367.55
EVT002024,Google Brand Campaign 2023-02,2023-02-11,Google_Ads_Campaign,CAM02024,4308.93,1307.04
EVT000333,FBIG Awareness Burst 2023-02,2023-02-11,FB_IG_Campaign,CAM00333,1050.62,825.41
EVT001034,Shopee Payday Sale 2023-02,2023-02-11,Shopee_Ads_Campaign,CAM01034,6705.59,1958.24
EVT000563,Shopee Payday Sale 2023-02,2023-02-11,Shopee_Ads_Campaign,CAM00563,4157.11,799.13
EVT001439,Shopee Voucher Blast 2023-02,2023-02-11,Shopee_Ads_Campaign,CAM01439,7802.93,1927.51
EVT002067,Shopee Voucher Blast 2023-02,2023-02-11,Shopee_Ads_Campaign,CAM02067,11016.86,2055.35
EVT000841,Shopee Voucher Blast 2023-02,2023-02-12,Shopee_Ads_Campaign,CAM00841,7488.81,1753.51
EVT002075,Google Brand Campaign 2023-02,2023-02-12,Google_Ads_Campaign,CAM02075,6533.83,2139.94
EVT000269,Google Brand Campaign 2023-02,2023-02-12,Google_Ads_Campaign,CAM00269,4968.44,1975.6
EVT001765,Google Shopping Promo 2023-02,2023-02-12,Google_Ads_Campaign,CAM01765,4418.37,1515.38
EVT000518,Shopee Voucher Blast 2023-02,2023-02-12,Shopee_Ads_Campaign,CAM00518,3298.86,627.81
EVT001681,FBIG Awareness Burst 2023-02,2023-02-12,FB_IG_Campaign,CAM01681,1558.88,1240.24
EVT001425,New Product Teaser 2023-02,2023-02-12,Email_Promo,CAM01425,2503.45,387.23
EVT000002,VIP Loyalty Drop 2023-02,2023-02-13,Email_Promo,CAM00002,2260.44,316.4
EVT001629,Lazada Brand Mega 2023-02,2023-02-13,Lazada_Ads_Campaign,CAM01629,6843.06,1703.15
EVT001920,Google Search Prospecting 2023-02,2023-02-13,Google_Ads_Campaign,CAM01920,7238.13,2185.67
EVT000322,Lazada Payday Deals 2023-02,2023-02-13,Lazada_Ads_Campaign,CAM00322,9191.02,1674.12
EVT000492,New Product Teaser 2023-02,2023-02-13,Email_Promo,CAM00492,1397.33,319.53
EVT000044,Lazada Payday Deals 2023-02,2023-02-13,Lazada_Ads_Campaign,CAM00044,5069.2,872.43
EVT000523,Lazada Payday Deals 2023-02,2023-02-13,Lazada_Ads_Campaign,CAM00523,6391.0,1775.58
EVT001823,Lazada Flash Sale 2023-02,2023-02-13,Lazada_Ads_Campaign,CAM01823,2008.3,499.91
EVT000511,VIP Loyalty Drop 2023-02,2023-02-13,Email_Promo,CAM00511,2341.43,311.98
EVT000420,FB Carousel Promo 2023-02,2023-02-13,FB_IG_Campaign,CAM00420,969.41,818.33
EVT000314,VIP Loyalty Drop 2023-02,2023-02-14,Email_Promo,CAM00314,1387.48,191.75
EVT001589,Shopee Daily Deals 2023-02,2023-02-14,Shopee_Ads_Campaign,CAM01589,4815.22,1368.12
EVT001247,Shopee Payday Sale 2023-02,2023-02-14,Shopee_Ads_Campaign,CAM01247,2994.13,513.27
EVT001388,Lazada Brand Mega 2023-02,2023-02-14,Lazada_Ads_Campaign,CAM01388,4785.64,1284.9
EVT000722,FBIG Awareness Burst 2023-02,2023-02-14,FB_IG_Campaign,CAM00722,431.98,391.97
EVT000714,FBIG Awareness Burst 2023-02,2023-02-15,FB_IG_Campaign,CAM00714,1376.05,1165.64
EVT001191,FB Carousel Promo 2023-02,2023-02-15,FB_IG_Campaign,CAM01191,895.15,876.62
EVT001540,Shopee Payday Sale 2023-02,2023-02-15,Shopee_Ads_Campaign,CAM01540,5879.61,1346.56
EVT000466,Lazada Brand Mega 2023-02,2023-02-16,Lazada_Ads_Campaign,CAM00466,6429.04,2096.33
EVT000932,Lazada Flash Sale 2023-02,2023-02-16,Lazada_Ads_Campaign,CAM00932,6779.38,1904.66
EVT000676,Shopee Voucher Blast 2023-02,2023-02-16,Shopee_Ads_Campaign,CAM00676,3994.07,862.87
EVT000307,Lazada Brand Mega 2023-02,2023-02-16,Lazada_Ads_Campaign,CAM00307,5947.05,1267.17
EVT000756,FBIG Awareness Burst 2023-02,2023-02-16,FB_IG_Campaign,CAM00756,542.97,673.47
EVT000777,Shopee Payday Sale 2023-02,2023-02-16,Shopee_Ads_Campaign,CAM00777,2906.71,641.16
EVT000200,IG Story Promo 2023-02,2023-02-16,FB_IG_Campaign,CAM00200,967.65,1192.32
EVT000957,FB Carousel Promo 2023-02,2023-02-17,FB_IG_Campaign,CAM00957,1081.04,1267.48
EVT002002,CRM Winback 2023-02,2023-02-17,Email_Promo,CAM02002,2016.95,287.73
EVT002120,Lazada Flash Sale 2023-02,2023-02-17,Lazada_Ads_Campaign,CAM02120,5936.72,1408.97
EVT000443,Shopee Payday Sale 2023-02,2023-02-17,Shopee_Ads_Campaign,CAM00443,5553.22,1486.13
EVT000031,Shopee Payday Sale 2023-02,2023-02-17,Shopee_Ads_Campaign,CAM00031,4083.58,707.07
EVT000762,Shopee Daily Deals 2023-02,2023-02-17,Shopee_Ads_Campaign,CAM00762,8669.15,1609.4
EVT000134,Google Brand Campaign 2023-02,2023-02-18,Google_Ads_Campaign,CAM00134,7614.94,2334.68
EVT000954,IG Story Promo 2023-02,2023-02-18,FB_IG_Campaign,CAM00954,401.41,383.53
EVT001555,Shopee Voucher Blast 2023-02,2023-02-18,Shopee_Ads_Campaign,CAM01555,3657.65,746.07
EVT000199,VIP Loyalty Drop 2023-02,2023-02-18,Email_Promo,CAM00199,2538.55,352.95
EVT001815,CRM Winback 2023-02,2023-02-18,Email_Promo,CAM01815,502.11,99.67
EVT001508,Lazada Brand Mega 2023-02,2023-02-18,Lazada_Ads_Campaign,CAM01508,2654.0,798.01
